UniqueID,BottleNo,True Bottle ID,NumID,Location No,Distance from Dam,Lake ID (4 dig.),Sampling Type (B/S),NH4Results,NOxResults,PO4Results,TPResults,NH4 BDL,Nox BDL,PO4 BDL,TP BDL,Microcystin Concentration,Chla (ug/L),Pheo (Avg 24 and on),NPOC (AVG) mg/L? [TOC],TN (AVG) mg/L? [TOC],Secchi Depth (m),Lat,Long,Month,Day,Year,Exclude,Date,FLIR,TIMEHHMMSS,DATEMMDDYYYY,FILENAME,FAULTCODE,BAROMETERMMHG,CONDSCM,SPCONDSCM,TDSMGL,SALPSU,NLFCONDSCM,DEPTHM,VERTICALPOSITIONM,PRESSUREPSIA,ODOSAT,ODOMGL,ODOCB,GPSLATITUDE,GPSLONGITUDE,ALTITUDEM,ORPMV,PH,PHMV,CABLEPWRV,BATTERYV,TEMPC,TURBIDITYFNU,TSSMGL,SITE
10024,20230407-1,20230407-MISS-S?,?,?,,MISS,Shore,0.0298,3.626,-0.003,0.3765,0.05,3.626,0.05,0.3765,NO DATA,1.59,NO DATA,,,,40.680591,-85.895761,4,7,2023,FALSE,4/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025,20230407-2,20230407-MISS-S?,?,?,,MISS,Shore,0.0099,4.177,0.03,0.239,0.05,4.177,0.05,0.239,NO DATA,3.8,NO DATA,,,,40.668591,-85.848779,4,7,2023,FALSE,4/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,20230407-3,20230407-MISS-S?,?,?,,MISS,Shore,0.0863,4.6,0.086,0.55675,0.05,4.6,0.05,0.55675,NO DATA,2.78,NO DATA,,,,40.703469,-85.936367,4,7,2023,FALSE,4/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045,20230510-S1,20230510-MISS-S?,?,?,,MISS,Shore,0.0025,6.679,0.16,0.2135,0.05,6.679,0.16,0.2135,NO DATA,1.54,NO DATA,,,,40.668349,-85.848617,5,10,2023,FALSE,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046,20230510-S2,20230510-MISS-S?,?,?,,MISS,Shore,0.1629,6.642,0.086,0.213,0.1629,6.642,0.05,0.213,NO DATA,1.54,NO DATA,,,,40.668568,-85.848867,5,10,2023,FALSE,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047,20230510-S3,20230510-MISS-S?,?,?,,MISS,Shore,1.0888,1.78,0.285,0.176,1.0888,1.78,0.285,0.176,NO DATA,9.86,NO DATA,,,,40.680658,-85.895798,5,10,2023,FALSE,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048,20230510-S4,20230510-MISS-S?,?,?,,MISS,Shore,1.0567,4.6415,0.2685,0.375,1.0567,4.6415,0.2685,0.375,NO DATA,7.83,NO DATA,,,,40.680741,-85.895805,5,10,2023,FALSE,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049,20230510-S5,20230510-MISS-S?,?,?,,MISS,Shore,1.37395,4.158,0.4265,0.067,1.37395,4.158,0.4265,0.05,NO DATA,10.16,NO DATA,,,,40.680777,-85.895502,5,10,2023,FALSE,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,20230510-S6,20230510-MISS-S?,?,?,,MISS,Shore,0.6532,3.521,0.2955,0.1055,0.6532,3.521,0.2955,0.1055,NO DATA,2.76,NO DATA,,,,40.70571,-85.954143,5,10,2023,FALSE,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,20230510-S7,20230510-MISS-S?,?,?,,MISS,Shore,0.4665,3.7255,0.186,0.0965,0.4665,3.7255,0.186,0.05,NO DATA,1.67,NO DATA,,,,40.7057,-85.95434,5,10,2023,FALSE,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,20230510-S8,20230510-MISS-S?,?,?,,MISS,Shore,0.87075,3.5895,0.3385,0.092,0.87075,3.5895,0.3385,0.05,NO DATA,3.59,NO DATA,,,,40.705266,-85.95322,5,10,2023,FALSE,5/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
