UniqueID,BottleNo,True Bottle ID,NumID,Location No,Distance from Dam,Lake ID (4 dig.),Sampling Type (B/S),NH4Results,NOxResults,PO4Results,TPResults,NH4 BDL,Nox BDL,PO4 BDL,TP BDL,Microcystin Concentration,Chla (ug/L),Pheo (Avg 24 and on),NPOC (AVG) mg/L? [TOC],TN (AVG) mg/L? [TOC],Secchi Depth (m),Lat,Long,Month,Day,Year,Exclude,Date,FLIR
10496,20250510-MISS-B1,20250510-MISS-B1,2101,1,5999,MISS,Boat,0.0124,3.266,0.029,0.105,0.05,3.266,0.05,0.105,NO DATA,11.03,1.13,,,,,,5,10,2025,,5/10/2025,
10497,20250510-MISS-B2,20250510-MISS-B2,2102,2,8861,MISS,Boat,-0.0062,3.028,0.003,0.047,0.05,3.028,0.05,0.05,NO DATA,15.97,1.74,,,,,,5,10,2025,,5/10/2025,
10498,20250510-MISS-B3,20250510-MISS-B3,2103,3,9921,MISS,Boat,-0.0129,3.258,0.002,0.045,0.05,3.258,0.05,0.05,NO DATA,7.76,1.53,,,,,,5,10,2025,,5/10/2025,
10499,20250510-MISS-B4,20250510-MISS-B4,2104,4,10891,MISS,Boat,-0.0041,3.273,0.004,0.058,0.05,3.273,0.05,0.05,NO DATA,11.64,2,,,,,,5,10,2025,,5/10/2025,
10500,20250510-MISS-B5,20250510-MISS-B5,2105,5,12821,MISS,Boat,0.0124,3.792,0.008,0.098,0.05,3.792,0.05,0.05,NO DATA,22.29,2.1,,,,,,5,10,2025,,5/10/2025,
10501,20250510-MISS-B6,20250510-MISS-B6,2106,6,14351,MISS,Boat,-0.0042,4.295,0.025,0.08,0.05,4.295,0.05,0.05,NO DATA,6.55,1.7,,,,,,5,10,2025,,5/10/2025,
10502,20250510-MISS-B7,20250510-MISS-B7,2107,7,6411,MISS,Boat,0.0418,3.108,0.052,0.132,0.05,3.108,0.05,0.132,NO DATA,8.82,1.62,,,,,,5,10,2025,,5/10/2025,
10503,20250510-MISS-B8,20250510-MISS-B8,2108,8,5401,MISS,Boat,0.0527,3.072,0.082,0.151,0.05,3.072,0.05,0.151,NO DATA,5.54,0.88,,,,,,5,10,2025,,5/10/2025,
10504,20250510-MISS-B9,20250510-MISS-B9,2109,9,4381,MISS,Boat,0.0471,3.312,0.118,0.186,0.05,3.312,0.118,0.186,NO DATA,2.77,0.68,,,,,,5,10,2025,,5/10/2025,
10505,20250510-MISS-B10,20250510-MISS-B10,2110,10,2851,MISS,Boat,0.0545,3.285,0.125,0.166,0.05,3.285,0.125,0.166,NO DATA,5.5,1.01,,,,,,5,10,2025,,5/10/2025,
10506,20250510-MISS-B11,20250510-MISS-B11,2111,11,1731,MISS,Boat,0.0546,3.445,0.127,0.202,0.05,3.445,0.127,0.202,NO DATA,1.46,0.72,,,,,,5,10,2025,,5/10/2025,
10507,20250510-MISS-B12,20250510-MISS-B12,2112,12,661,MISS,Boat,0.0457,3.262,0.126,0.208,0.05,3.262,0.126,0.208,NO DATA,1.71,0.62,,,,,,5,10,2025,,5/10/2025,
10508,20250510-MISS-B13,20250510-MISS-B13,2113,13,13553,MISS,Boat,-0.0091,4.057,0.01,0.082,0.05,4.057,0.05,0.05,NO DATA,15.88,3.01,,,,,,5,10,2025,,5/10/2025,
10524,20250729-MISS-B1,20250729-MISS-B1,2101,1,5999,MISS,Boat,-0.0356,3.974,-0.005,0.046,0.05,3.974,0.05,0.05,6.13,33.45,3.72,,,0.3,40.68171544,-85.88891535,7,29,2025,,7/29/2025,31.5
10525,20250729-MISS-B2,20250729-MISS-B2,2102,2,8861,MISS,Boat,-0.0341,3.057,-0.004,0.078,0.05,3.057,0.05,0.05,4.31,33.85,3.18,,,0.3,40.67677465,-85.87706667,7,29,2025,,7/29/2025,33.2
10526,20250729-MISS-B3,20250729-MISS-B3,2103,3,9921,MISS,Boat,-0.0341,2.113,0,0.092,0.05,2.113,0.05,0.05,3.71,43.27,3.57,,,0.3,40.67070291,-85.87028705,7,29,2025,,7/29/2025,31.3
10527,20250729-MISS-B4,20250729-MISS-B4,2104,4,10891,MISS,Boat,-0.0386,1.408,-0.003,0.147,0.05,1.408,0.05,0.147,4,62.24,3.79,,,0.33,40.66312605,-85.86651026,7,29,2025,,7/29/2025,33
10528,20250729-MISS-B5,20250729-MISS-B5,2105,5,12821,MISS,Boat,-0.0347,0.807,0.003,0.246,0.05,0.807,0.05,0.246,7.48,86.89,5,,,0.1,40.66858413,-85.84796119,7,29,2025,,7/29/2025,36.8
10529,20250729-MISS-B6,20250729-MISS-B6,2106,6,14351,MISS,Boat,-0.0362,0.436,0.002,0.212,0.05,0.436,0.05,0.212,6.53,41.79,6,,,0.15,40.67370358,-85.83196105,7,29,2025,,7/29/2025,33
10530,20250729-MISS-B7,20250729-MISS-B7,2107,7,6411,MISS,Boat,-0.0235,4.145,-0.004,0.048,0.05,4.145,0.05,0.05,6.39,27.01,3.99,,,0.35,40.68778696,-85.89654681,7,29,2025,,7/29/2025,30.3
10531,20250729-MISS-B8,20250729-MISS-B8,2108,8,5401,MISS,Boat,-0.0296,4.56,-0.005,0.039,0.05,4.56,0.05,0.05,2.34,21.05,3.33,,,0.45,40.69169216,-85.90830278,7,29,2025,,7/29/2025,30
10532,20250729-MISS-B9,20250729-MISS-B9,2109,9,4381,MISS,Boat,-0.0343,4.786,0.001,0.027,0.05,4.786,0.05,0.05,2.79,14.14,2.43,,,0.5,40.70410231,-85.92991843,7,29,2025,,7/29/2025,29.8
10533,20250729-MISS-B10,20250729-MISS-B10,2110,10,2851,MISS,Boat,-0.0365,4.582,-0.005,0.03,0.05,4.582,0.05,0.05,2.27,17.24,2.93,,,0.45,40.69337247,-85.92015559,7,29,2025,,7/29/2025,30.1
10534,20250729-MISS-B11,20250729-MISS-B11,2111,11,1731,MISS,Boat,-0.0228,4.369,0,0.029,0.05,4.369,0.05,0.05,2.97,17.38,1.74,,,0.45,40.71095538,-85.93832792,7,29,2025,,7/29/2025,29.7
10535,20250729-MISS-B12,20250729-MISS-B12,2112,12,661,MISS,Boat,-0.0375,4.952,0,0.021,0.05,4.952,0.05,0.05,3.54,11.61,1.27,,,0.6,40.71164398,-85.9510162,7,29,2025,,7/29/2025,30.5
10536,20250729-MISS-B13,20250729-MISS-B13,2113,13,13553,MISS,Boat,-0.0366,0.327,-0.004,0.165,0.05,0.327,0.05,0.165,3.68,45.44,4.1,,,0.12,40.67248125,-85.84148965,7,29,2025,,7/29/2025,33
10547,20250806-MISS-B1,20250806-MISS-B1,2101,1,5999,MISS,Boat,-0.0401,2.949,-0.001,0.053,0.05,2.949,0.05,0.05,0.86,9.93,2.68,,,0.6,40.68169909,-85.88886534,8,6,2025,,8/6/2025,26.6
10548,20250806-MISS-B2,20250806-MISS-B2,2102,2,8861,MISS,Boat,-0.042,2.031,0.004,0.09,0.05,2.031,0.05,0.05,1.77,39.33,6.2,,,0.5,40.67685034,-85.87707793,8,6,2025,,8/6/2025,28.2
10549,20250806-MISS-B3,20250806-MISS-B3,2103,3,9921,MISS,Boat,-0.037,2.036,-0.001,0.11,0.05,2.036,0.05,0.11,4.24,53.24,5.88,,,0.35,40.67077609,-85.87034704,8,6,2025,,8/6/2025,28.6
10550,20250806-MISS-B4,20250806-MISS-B4,2104,4,10891,MISS,Boat,-0.0292,1.487,0.006,0.242,0.05,1.487,0.05,0.242,5.57,65.95,4.52,,,0.15,40.66858237,-85.84778715,8,6,2025,,8/6/2025,30.7
10551,20250806-MISS-B5,20250806-MISS-B5,2105,5,12821,MISS,Boat,-0.0439,1.528,0.006,0.177,0.05,1.528,0.05,0.177,17.21,51.67,5.05,,,0.3,40.66321409,-85.86644561,8,6,2025,,8/6/2025,31.2
10552,20250806-MISS-B6,20250806-MISS-B6,2106,6,14351,MISS,Boat,-0.0348,1.761,0.009,0.293,0.05,1.761,0.05,0.293,2.8,68.76,4.67,,,0.1,40.67367077,-85.83186648,8,6,2025,,8/6/2025,28.7
10553,20250806-MISS-B7,20250806-MISS-B7,2107,7,6411,MISS,Boat,-0.0383,2.957,-0.003,0.053,0.05,2.957,0.05,0.05,1.37,14,3.6,,,0.6,40.68786241,-85.89652749,8,6,2025,,8/6/2025,26.6
10554,20250806-MISS-B8,20250806-MISS-B8,2108,8,5401,MISS,Boat,-0.0376,2.811,-0.004,0.068,0.05,2.811,0.05,0.05,2.9,22.64,4.12,,,0.7,40.69167411,-85.90828993,8,6,2025,,8/6/2025,25.6
10555,20250806-MISS-B9,20250806-MISS-B9,2109,9,4381,MISS,Boat,-0.037,3.853,-0.004,0.032,0.05,3.853,0.05,0.05,0.95,10.68,1.57,,,0.7,40.70416778,-85.92992319,8,6,2025,,8/6/2025,26.2
10556,20250806-MISS-B10,20250806-MISS-B10,2110,10,2851,MISS,Boat,-0.0349,3.15,-0.004,0.05,0.05,3.15,0.05,0.05,0.89,20.33,3.48,,,0.7,40.69332895,-85.92021024,8,6,2025,,8/6/2025,26.2
10557,20250806-MISS-B11,20250806-MISS-B11,2111,11,1731,MISS,Boat,-0.0198,3.867,-0.005,0.035,0.05,3.867,0.05,0.05,3.1,15.42,2.04,,,0.6,40.71097757,-85.93861,8,6,2025,,8/6/2025,26.4
10558,20250806-MISS-B12,20250806-MISS-B12,2112,12,661,MISS,Boat,-0.0347,4.054,-0.004,0.032,0.05,4.054,0.05,0.05,5.74,12.85,1.03,,,0.85,40.71164251,-85.9509573,8,6,2025,,8/6/2025,27.9
10559,20250806-MISS-B13,20250806-MISS-B13,2113,13,13553,MISS,Boat,-0.0328,1.593,0.013,0.396,0.05,1.593,0.05,0.396,0.05,133.76,-0.81,,,0.1,40.67263917,-85.84142834,8,6,2025,,8/6/2025,30.1
10560,20250806-MISS-B14,20250806-MISS-B14,2114,14,475,MISS,Boat,-0.04,4.173,-0.003,0.035,0.05,4.173,0.05,0.05,0.05,18.57,2.36,,,0.6,40.71558936,-85.95077364,8,6,2025,,8/6/2025,27.3
