UniqueID,BottleNo,True Bottle ID,NumID,Location No,,Lake ID (4 dig.),Sampling Type (B/S),NH4Results,NOxResults,PO4Results,TPResults,NH4 BDL,Nox BDL,PO4 BDL,TP BDL,Microcystin Concentration,Chla (Avg 24 and on),Pheo (Avg 24 and on),NPOC (AVG) mg/L? [TOC],TN (AVG) mg/L? [TOC],Secchi Depth (m),Lat,Long,Month,Day,Year,Exclude,Date,FLIR,TIMEHHMMSS,DATEMMDDYYYY,FILENAME,FAULTCODE,BAROMETERMMHG,CONDSCM,SPCONDSCM,TDSMGL,SALPSU,NLFCONDSCM,DEPTHM,VERTICALPOSITIONM,PRESSUREPSIA,ODOSAT,ODOMGL,ODOCB,GPSLATITUDE,GPSLONGITUDE,ALTITUDEM,ORPMV,PH,PHMV,CABLEPWRV,BATTERYV,TEMPC,TURBIDITYFNU,TSSMGL,SITE
10001,10202022FM1,20221020-FREE-B1,1101,1,,FREE,Boat,,,,,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.731,-86.753,10,20,2022,FALSE,10/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,10202022FM2,20221020-FREE-B2,1102,2,,FREE,Boat,,,,,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.74,-86.744,10,20,2022,FALSE,10/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,10202022FM3,20221020-FREE-B2,1102,2,,FREE,Boat,,,,,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.745,-86.74,10,20,2022,FALSE,10/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004,10202022FM4,20221020-FREE-B1,1101,1,,FREE,Boat,,,,,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.729,-86.756,10,20,2022,FALSE,10/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005,20230310-1,20230310-SHAF-S?,?,?,,SHAF,Bridge,0.0561,6.424,-0.004,-0.001,0.05,6.424,0.05,0.05,NO DATA,3.87,NO DATA,,,,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006,20230310-2,20230310-SHAF-S?,?,?,,SHAF,Bridge,,,,0.0085,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.73183,40.73183,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007,20230310-3,20230310-SHAF-S?,?,?,,SHAF,Bridge,,,,0.0185,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008,20230310-4,20230310-SHAF-S?,?,?,,SHAF,Bridge,,,,0.0885,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009,20230310-5,20230310-SHAF-S?,?,?,,SHAF,Bridge,,,,0.086,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10010,20230310-6,20230310-SHAF-S?,?,?,,SHAF,Bridge,0.0191,6.193,-0.002,0.0905,0.05,6.193,0.05,0.05,NO DATA,1.36,NO DATA,,,,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,20230310-7,20230310-SHAF-S?,?,?,,SHAF,Bridge,,,,0.0935,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,20230310-8,20230310-SHAF-S?,?,?,,SHAF,Bridge,,,,0.0865,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,20230310-9,20230310-SHAF-S?,?,?,,SHAF,Bridge,,,,0.043,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014,20230310-10,20230310-SHAF-S?,?,?,,SHAF,Bridge,,,,0.0875,0.05,0.05,0.05,0.05,NO DATA,NO DATA,NO DATA,,,,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015,20230310-11,20230310-SHAF-S?,?,?,,SHAF,Bridge,0.0129,5.8425,-0.0005,0.094,0.05,5.8425,0.05,0.05,NO DATA,1.96,NO DATA,,,,40.74647,-86.75747,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016,20230310-12,20230310-SHAF-S?,?,?,,SHAF,Bridge,0.0162,6.133,-0.003,0.0715,0.05,6.133,0.05,0.05,NO DATA,2.00,NO DATA,,,,40.74641,-86.75789,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017,20230310-13,20230310-SHAF-S?,?,?,,SHAF,Bridge,0.009,5.536,-0.008,0.111,0.05,5.536,0.05,0.111,NO DATA,2.27,NO DATA,,,,40.77869,-86.75792,3,10,2023,FALSE,3/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
